 
****************************************
Report : port
Design : Flash_Controller_ASIC
Version: R-2020.09-SP1
Date   : Tue Jul  9 09:11:06 2024
****************************************



Attributes:
    d - dont_touch_network
    i - ideal_network

                       Pin      Wire     Max     Max     Connection
Port           Dir     Load     Load     Trans   Cap     Class      Attrs
--------------------------------------------------------------------------------
pad_HADDR[0]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[1]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[2]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[3]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[4]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[5]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[6]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[7]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[8]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[9]   in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[10]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[11]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[12]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[13]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[14]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[15]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[16]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[17]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[18]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[19]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[20]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[21]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[22]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[23]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[24]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[25]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[26]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[27]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[28]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[29]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[30]  in      0.0000   0.0000    3.60    0.46   --         
pad_HADDR[31]  in      0.0000   0.0000    3.60    0.46   --         
pad_HCLK       in      0.0000   0.0000   --      --      --         d
pad_HRST_n     in      0.0000   0.0000   --      --      --         d, i
pad_HSELx      in      0.0000   0.0000    3.60    0.46   --         
pad_HSIZE[0]   in      0.0000   0.0000    3.60    0.46   --         
pad_HSIZE[1]   in      0.0000   0.0000    3.60    0.46   --         
pad_HTRANS[0]  in      0.0000   0.0000    3.60    0.46   --         
pad_HTRANS[1]  in      0.0000   0.0000    3.60    0.46   --         
pad_HWDATA[0]  in      0.0000   0.0000    3.60    0.46   --         
pad_HWDATA[1]  in      0.0000   0.0000    3.60    0.46   --         
pad_HWDATA[2]  in      0.0000   0.0000    3.60    0.46   --         
